HyperQ --- New Horizons in Myocardial Ischemia Detection;ECG;Medicina/biomedicina (estudio/diagnóstico de la isquemia);Diseñar un sistema de medida
Impact of Noise on Deep Learning-Based Pseudo-Online Gesture Recognition with High-Density EMG;EMG;HMI (Human-Machine Interface) basada en sEMG;Estudiar una técnica de procesamiento (estudiar la eficacia de una red neuronal ante distintos tipos de ruidos)
Improvement in Neural Respiratory Drive Estimation From Diaphragm Electromyographic Signals Using Fixed Sample Entropy;EMG;Medicina/biomedicina (estudio de \textit{neural respiratory drive} a partir de EMGdi);Estudiar una técnica de procesamiento
Improving mental task classification by adding high frequency band information;EEG;BCI (Brain-Computer Interface) basada en tareas mentales;Contribuir al conocimiento sobre la señal
Improving the quality of combined EEG-TMS neural recordings: Introducing the coil spacer;EEG;Medicina/biomedicina (\textit{transcranial magnetic stimulation});Cancelación de ruido (de una interferencia en particular: debida al procedimiento de TMS)
Increased Gamma Brainwave Amplitude Compared to Control in Three Different Meditation Traditions;EEG;Investigación (sobre la señal);Contribuir al conocimiento sobre la señal (estudiar la influencia de distintas prácticas de meditación en la señal EEG)
Intelligent Service for Hybrid Analysis of COntinuous Mental Processes Based on EEG and Video Data;EEG;Investigación (sobre la señal);Diseñar un sistema de medida (EEG combinada con vídeo para monitorización de procesos mentales continuos)
Localization of an Inert Region in the Brain using Modified Levenberg Marquarts Neural Networks;EEG;Investigación (sobre la señal);Diseñar un algoritmo de detección (localización de zonas intertes en el cerebro)
Machine Learning-Based Gesture Classification Using Hybrid EMG and MMG Signals for Upper Limb Prostheses;EMG;Prótesis (de miembro superior);Diseñar un algoritmo de detección (localización de zonas inertes en el cerebro)
Measuring the cortical correlation structure of spontaneous oscillatory activity with EEG and MEG;Varias;Investigación (sobre la señal);Contribuir al conocimiento sobre la señal
Motion artifacts extraction using dwt from ambulatory ECG (A-ECG);ECG;Medicina/biomedicina (medicina ambulatoria);Cancelación de ruido (de una interferencia en particular: movimientos)
MUAP extraction and classification based on wavelet transform and ICA for EMG decomposition;Varias;Investigación (sobre la señal);Diseñar un algoritmo de detección (detección y clasificación de MUAP a partir de EMG)
Neural Recording Stability of Chronic Electrode Arrays in Freely Behaving Primates;AP;Investigación (sobre sistemas de medida) / Electrodo implantado;Cuantificar la estabilidad de medidas neuronales
Objective response detection in an electroencephalogram during somatosensory stimulation;EP;Investigación (sobre sistemas de medida);Contribuir al conocimiento sobre la señal (estudiar la eficacia de tres métodos para la detección objetiva/cuantitativa de respuestas en el potencial evocado somatosensorial)
Optimal EMG amplitude detectors for muscle-computer interface;EMG;MCI (Muscle-Computer Interface);Contribuir al conocimiento sobre la señal
Optimal Estimation of EMG Standard Deviation (EMG$\sigma$) in Additive Measurement Noise: Model-Based Derivations and Their Implications;EMG;Investigación (sobre la señal);Contribuir al conocimiento sobre la señal
Optimal imaging of cortico-muscular coherence through a novel regression technique based on multi-channel EEG and un-rectified EMG;Varias;Investigación (sobre la señal);Contribuir al conocimiento sobre la señal
Optimization of Data Quality Related EMG Feature Extraction Parameters to Increase Hand Movement Classification Accuracy;EMG;Prótesis (de miembro superior);Diseñar un algoritmo de detección (detección/clasificación de movimientos de las manos a partir de la señal EMG)
Performance comparison of IST and multi scale principal component analysis in the EEG signal processing;EEG;Investigación (sobre técnicas de procesamiento);Cancelación de ruido (de una interferencia en particular: EOG)
Prediction of Cerebral Palsy in Newborns With Hypoxic-Ischemic Encephalopathy Using Multivariate EEG Analysis and Machine Learning;EEG;Medicina/biomedicina (estudio/diagnóstico de la parálisis cerebral);Contribuir al conocimiento sobre la señal (hallar biomarcadores relacionados con el desarrollo de parálisis cerberal en neonatos a partir de EEG)
Probability density of the surface electromyogram and its relation to amplitude detectors;EMG;Investigación (sobre la señal);Contribuir al conocimiento sobre la señal (hallar el mejor parámetro para la estimación de la amplitud de la señal EMG)
Properties of rectiied averaging of an evoked-type signal: theory and application to the vestibular-evoked myogenic potential;EP;Investigación (sobre técnicas de procesamiento);Estudiar una técnica de procesamiento (\textit{rectified averaging} para estudio de potenciales evocados)
Estudiar una técnica de procesamiento (\textit{rectified averaging} para estudio de potenciales evocados);ECG;Investigación (sobre técnicas de filtrado);Cancelación de ruido (de una interferencia en particular: miopotencial)
Real-time monitoring of heart conditions via electrocardiogram processing at different lifestyle situations;ECG;Medicina/biomedicina (medicina ambulatoria);Diseñar un sistema de medida (para monitorización remota en tiempo real de ECG)
Reduction of CPR artifacts in the ventricular fibrillation ECG by coherent line removal;ECG;Medicina/biomedicina (asistencia en emergencias);Cancelación de ruido (de una interferencia en particular: debida al procedimiento RCP)
Remote R-Peak Detection in Single-Lead ECG Chest Monitors Using Clustering Classification and Laser-Induced Graphene Electrodes;ECG;Medicina/biomedicina (medicina ambulatoria);Diseñar un sistema de medida (nuevo electrodo para monitorización remota)
Removal of CPR Artifacts From the Ventricular Fibrillation ECG by Adaptive Regression on Lagged Reference Signals;ECG;Medicina/biomedicina (asistencia en emergencias);Cancelación de ruido (de una interferencia en particular: debida al procedimiento de RCP)
Removal of ocular artifacts in EEG signals measured in a neuroeconomics experiment;N/A;N/A;N/A
Separation of electrocardiographic from electromyographic signals using dynamic filtration;EMG;Investigación (sobre la señal);Cancelación de ruido (de una interferencia en particular: ECG)
Signal strength in nerve cuff electrode recordings;AP;Investigación (sobre sistemas de medida) / \textit{Nerve cuff electrode};Contribuir al conocimiento sobre la señal (mostrar cómo influyen las características del electrodo en el RMS de la señal)
Some limitations of localizing inert region from EEG;EEG;Investigación (sobre la señal);Diseñar un algoritmo de detección (localización de zonas inertes en el cerebro)
Subtraction of 16.67 Hz railroad net interference from the electrocardiogram: application for automatic external defibrillators;ECG;Medicina/biomedicina (asistencia en emergencias) / desfibriladores automáticos;Cancelación de ruido (de una interferencia en particular: red eléctrica ferroviaria)
Surface electromyography as a tool to assess the responses of car passengers to lateral accelerations. Part II: Objective comparison of vehicles;EMG;Automoción;Contribuir al conocimiento sobre la señal (cuantificar el comfort en un vehículo a través de EMG)
Surface EMG and spatial resolution analysis with estimation of electromyographic descriptors;EMG;Investigación (sobre técnicas de filtrado);Probar una técnica de filtrado
The effect of artifact correction on spectral estimates of heart rate variability;ECG;Investigación (sobre la señal);Cancelación de ruido (general)
The effect of linear mixing in the EEG on Hurts exponent estimation;EEG;Investigación (sobre la señal);Contribuir al conocimiento sobre la señal (estudiar el \textit{long-range temporal correlation} y su reacción ante interferencias o filtrado)
The impact of head movements on EEG and contact impedance: An adaptive filtering solution for motion artifact reduction;EEG;Investigación (sobre sistemas de medida) / Electrodo seco;Cancelación de ruido (de una interferencia en particular: \textit{motion artifacts})
Transient electroencephalographic alpha power loss during maintenance of general anaesthesia;EEG;Medicina/biomedicina;Contribuir al conocimiento sobre la señal (EEG con anestesia)
Using Component Synchrony Measure for somatosensory evoked potential detection;EEG;Investigación (sobre técnicas de procesamiento);Estudiar una técnica de procesamiento (estudiar la eficacia del \textit{component synchrony measure} para la detección de respuestas evocadas en la señal EEG durante estimulación somatosensorial)
Wavelet-Based Assessment of the Muscle-Activation Frequency Range by EMG Analysis;EMG;Investigación (sobre la señal);Diseñar un algoritmo de detección (detección del inicio o la intención del movimiento)
Wavelet Thresholding Using GWO Optimization for EEG Denoising;EEG;BCI (Brain-Computer Interface);Cancelación de ruido (de una interferencia en particular: EOG)
